main_food_group	company_name	product_name	brand_name	product_weight
Beverages	Kim Hing Food Industries Pte Ltd	Dragon Brand Bird's Nest Reduced Sugar	Dragon Brand	6 x 75g
Beverages	Kim Hing Food Industries Pte Ltd	Dragon Brand Royal Concentrated Bird's Nest (No Sugar)	Dragon Brand	150g
Beverages	Kim Hing Food Industries Pte Ltd	Dragon Brand Superior Jin Si Guan Yan Bird's Nest (Reduced Sugar)	Dragon Brand	6 x 75g
Beverages	Kim Hing Food Industries Pte Ltd	Dragon Brand Superior Jin Si Yan Concentrated Bird's Nest (No Sugar)	Dragon Brand	150g
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Cane Barley Drink	Eu Yan Sang	420ml
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Ginseng Chrysanthemum Tea	Eu Yan Sang	330ml
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Ginseng Chrysanthemum Tea R-2015	Eu Yan Sang	420ml
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Imperial Golden Bird's Nest (Reduced Sugar)	Eu Yan Sang	150g
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Imperial Golden Concentrated Bird's Nest (Reduced Sugar)	Eu Yan Sang	150g
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Luo Han Guo Chrysanthemum Tea	Eu Yan Sang	420ml
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Luohanguo Dates Tea	Eu Yan Sang	330ml
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Mini Swallow Treat Premium Concentrated Bird's Nest (Reduced Sugar)	Eu Yan Sang	6 x 28g
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Mini Swallow Treat Premium Concentrated Bird's Nest (Sugar Free)	Eu Yan Sang	6 x 28g
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Premium Concentrated Bird's Nest (Reduced Sugar)	Eu Yan Sang	150g
